race;pid;finish;dist;dpos;alt;time
R00001;P000061;1;54.11;3687;1550;9.38
R00001;P000061;1;58.12;3725;1088;9.84
R00001;P000061;1;59.33;3725;1063;9.93
R00001;P000062;1;0;0;1064;0.0
R00001;P000062;1;14.03;1229;1919;2.0
R00001;P000062;1;22.4;1410;1615;2.84
R00001;P000062;1;27.94;1444;815;3.47
R00001;P000062;1;42.96;3034;1935;6.62
R00001;P000062;1;54.11;3687;1550;9.37
R00001;P000062;1;58.12;3725;1088;9.83
R00001;P000062;1;59.33;3725;1063;9.93
R00001;P000063;1;0;0;1064;0.0
R00001;P000063;1;14.03;1229;1919;1.78
R00001;P000063;1;22.4;1410;1615;2.62
R00001;P000063;1;27.94;1444;815;3.26
R00001;P000063;1;42.96;3034;1935;6.09
R00001;P000063;1;54.11;3687;1550;9.1
R00001;P000063;1;58.12;3725;1088;9.76
R00001;P000063;1;59.33;3725;1063;9.93
R00001;P000064;1;0;0;1064;0.0
R00001;P000064;1;14.03;1229;1919;2.2
R00001;P000064;1;22.4;1410;1615;3.05
R00001;P000064;1;27.94;1444;815;3.76
R00001;P000064;1;42.96;3034;1935;6.69
R00001;P000064;1;54.11;3687;1550;9.25
R00001;P000064;1;58.12;3725;1088;9.85
R00001;P000064;1;59.33;3725;1063;9.97
R00001;P000065;1;0;0;1064;0.0
R00001;P000065;1;14.03;1229;1919;1.87
R00001;P000065;1;22.4;1410;1615;2.75
R00001;P000065;1;27.94;1444;815;3.39
R00001;P000065;1;42.96;3034;1935;6.6
R00001;P000065;1;54.11;3687;1550;9.32
R00001;P000065;1;58.12;3725;1088;9.87
R00001;P000065;1;59.33;3725;1063;9.99
R00001;P000066;1;0;0;1064;0.0
R00001;P000066;1;14.03;1229;1919;1.84
R00001;P000066;1;22.4;1410;1615;2.7
R00001;P000066;1;27.94;1444;815;3.38
R00001;P000066;1;42.96;3034;1935;6.54
R00001;P000066;1;54.11;3687;1550;9.32
R00001;P000066;1;58.12;3725;1088;9.88
R00001;P000066;1;59.33;3725;1063;9.99
R00001;P000067;1;0;0;1064;0.0
R00001;P000067;1;14.03;1229;1919;2.21
R00001;P000067;1;22.4;1410;1615;3.03
R00001;P000067;1;27.94;1444;815;3.66
R00001;P000067;1;42.96;3034;1935;6.69
R00001;P000067;1;54.11;3687;1550;9.43
R00001;P000067;1;58.12;3725;1088;9.91
R00001;P000067;1;59.33;3725;1063;10.01
R00001;P000068;1;0;0;1064;0.0
R00001;P000068;1;14.03;1229;1919;2.75
R00001;P000068;1;22.4;1410;1615;3.31
R00001;P000068;1;27.94;1444;815;4.02
R00001;P000068;1;42.96;3034;1935;6.9
R00001;P000068;1;54.11;3687;1550;9.41
R00001;P000068;1;58.12;3725;1088;9.94
R00001;P000068;1;59.33;3725;1063;10.03
R00001;P000069;1;0;0;1064;0.0
R00001;P000069;1;14.03;1229;1919;2.22
R00001;P000069;1;22.4;1410;1615;2.97
R00001;P000069;1;27.94;1444;815;3.6
